type,name,address,postal_Code,municipality,email,phone,coord_x,coord_y,postal_code
PMI,Centre de protection maternelle et infantile (PMI) et de planification - La Condamine,25 Avenue Virgile Barel (Résidence Les Mimosas - Bâtiment 25),6340,Drap,pmisaintandre@departement06.fr,489043985,1048659,6306401,6340
PMI,Centre de protection maternelle et infantile (PMI) et de planification - L'Ariane,1 Square Constantin de Châteauneuf (Le Petit Palais),6300,Nice,pminiceariane@departement06.fr,489045175,1046392,6302360,6300
PMI,Centre de protection maternelle et infantile (PMI) et de planification - La Forge,11 Boulevard du Général de Gaulle,6340,La Trinité,pmisaintandre@departement06.fr,489043985,1047155,6303069,6340
PMI,Centre de protection maternelle et infantile (PMI) et de planification - L'Adriana,15 Boulevard du 8 Mai 1945 (Immeuble l'Adriana),6730,Saint-André-de-la-Roche,pmisaintandre@departement06.fr,489043985,1045357,6302763,6730
PMI,Centre de protection maternelle et infantile (PMI) et de planification - Le Marengo,13 Allée des Bugadières,6800,Cagnes-sur-Mer,Unknown,489043240,1034676,6294053,6800
PMI,Centre de protection maternelle et infantile (PMI) et de planification - Le Promontoire,33 Rue des Selves,6510,Carros,Unknown,489043170,1037513,6306052,6510
PMI,Centre de protection maternelle et infantile (PMI) et de planification - Les Baous,134 Avenue Colonel Meyere,6140,Vence,Unknown,489043235,1031526,6299942,6140
PMI,Centre de protection maternelle et infantile (PMI) et de planification - Les Continents,Rue des Lits Militaires,6600,Antibes,pmiantibes@departement06.fr,489045190,1032606,6284144,6600
PMI,Centre de protection maternelle et infantile (PMI) et de planification - Les Dryades,53 Boulevard de la République,6110,Le Cannet,pmilecannet@departement06.fr,489043340,1022731,6282529,6110
PMI,Centre de protection maternelle et infantile (PMI) et de planification - Les Laurentins,52 Boulevard Louis Roux,6700,Saint-Laurent-du-Var,pmisaintlaurentduvar@departement06.fr,489043220,1037793,6294851,6700
PMI,Centre de protection maternelle et infantile (PMI) et de planification - Les Nymphéas,390 Avenue Marcel Pagnol,6210,Mandelieu-la-Napoule,pmicannes-ouest@departement06.fr,489043490,1018615,6279874,6210
PMI,Centre de protection maternelle et infantile (PMI) et de planification - Les Oliviers,1 Rue du Dr Senes (Centre Les Oliviers),6220,Vallauris,pmivallauris@departement06.fr,489043930,1027492,6283948,6220
PMI,Centre de protection maternelle et infantile (PMI) et de planification - Grasse,12 Boulevard Carnot (Maison du département),6130,Grasse,pmigrasse@departement06.fr,489043650,1016281,6291846,6130
